q = 10 	 n = 5
@@@@@@@@ Left sum: @@@@@@@@@@
+i: 1	 summand: 1.0e-8*K4*KNeg5*KNeg1**2*KNeg2**2*KNeg3**2*KNeg4**2
+i: 2	 summand: 1.0e-6*K4*KNeg5*KNeg2**2*KNeg3**2*KNeg4**2
+i: 3	 summand: 0.0001*K4*KNeg5*KNeg3**2*KNeg4**2
+i: 4	 summand: 0.01*K4*KNeg5*KNeg4**2
+i: 5	 summand: K4*KNeg5
-i: 1 	 summand: 100000000*KNeg4*K5*K1**2*K2**2*K3**2*K4**2
-i: 2 	 summand: 1000000*KNeg4*K5*K2**2*K3**2*K4**2
-i: 3 	 summand: 10000*KNeg4*K5*K3**2*K4**2
-i: 4 	 summand: 100*KNeg4*K5*K4**2
-i: 5 	 summand: KNeg4*K5
@@@@@@@@ Right sum: @@@@@@@@@@
i: 1 	 j: 2 	 summand: 9.801e-6*F1*K4*KNeg5*KNeg1**2*KNeg2**2*KNeg3**2*KNeg4**2*K1*E1
i: 1 	 -j: 2 	 summand: -8687458.12768979*(-0.106215728567005*F1*F2*F3*F4*F3*F5*F2 + 0.0106215728566993*F1*F2*F3*F5*F2*F3*F4 - 0.191517305296347*F1*F2*F3*F5*F3*F4*F2 - 0.00106215728567024*F1*F2*F3*F5*F4*F2*F3 + 1.06215728567005*F1*F2*F3*F5*F4*F3*F2 - 0.0128351325190784*F1*F2*F3**2*F5*F4*F2 + 0.0106215728567003*F1*F2*F4*F3*F5*F2*F3 + 0.121406737853408*F1*F2*F5*F3*F4*F3*F2 + 0.00812955741216457*F1*F2*F5*F4*F3*F2*F3 - 0.00928195646028292*F1*F2*F5*F4*F3**2*F2 - 0.0105153571281335*F1*F2**2*F3*F5*F4*F3 + 0.0106215728567004*F1*F3*F2*F4*F3*F5*F2 - 0.106215728567005*F1*F3*F2*F5*F4*F3*F2 + 0.0106215728567011*F1*F5*F3*F2*F4*F3*F2 + 0.001051535712813*F2*F1*F2*F3*F5*F4*F3 - 0.00106215728567005*F2*F1*F3*F4*F2*F3*F5 + 0.0107277885852671*F2*F1*F3*F4*F3*F5*F2 - 0.00106215728567004*F2*F1*F3*F5*F2*F3*F4 - 0.503053443843622*F2*F1*F3*F5*F3*F4*F2 + 0.0107277885852675*F2*F1*F3*F5*F4*F2*F3 - 0.106226350139862*F2*F1*F3*F5*F4*F3*F2 - 0.013373641622428*F2*F1*F3**2*F5*F4*F2 - 0.00106215728567002*F2*F1*F4*F3*F5*F2*F3 - 0.00106215728566998*F2*F1*F5*F3*F4*F2*F3 - 0.241644067536978*F2*F1*F5*F3*F4*F3*F2 + 0.175339068659456*F2*F1*F5*F4*F3*F2*F3 - 1.06215728567075e-5*F2*F3*F4*F3*F5*F2*F1 + 0.000106215728566775*F2*F3*F5*F2*F1*F3*F4 - 0.00106215728567026*F2*F3*F5*F4*F2*F1*F3 + 1.0621572856756e-6*F2*F3*F5*F4*F3*F2*F1 + 0.000106215728566548*F2*F4*F3*F5*F2*F1*F3 - 1.06215728566376e-5*F2*F5*F3*F4*F3*F2*F1 + 0.000929268447843342*F2*F5*F4*F2*F1*F3**2 - 0.00106215728567006*F3*F2*F1*F4*F3*F5*F2 - 0.00106215728567005*F3*F2*F1*F5*F3*F4*F2 + 0.0107277885852675*F3*F2*F1*F5*F4*F3*F2 + 0.000106215728567546*F3*F2*F4*F3*F5*F2*F1 - 1.06215728567689e-5*F3*F2*F5*F4*F3*F2*F1 - 0.00106215728566997*F4*F3*F2*F1*F5*F3*F2 - 0.00106215728567008*F5*F3*F2*F1*F4*F3*F2 + 0.000106215728566664*F5*F3*F2*F4*F3*F2*F1)*KNeg1*(1.06215728568883e-6*E1*E2*E3*E4*E5*E3*E2 - 1.06215728566271e-5*E2*E1*E2*E3*E4*E5*E3 + 0.000106215728566824*E2*E3*E1*E2*E3*E4*E5 + 0.0119131293443555*E2*E3*E2*E3*E4*E5*E1 - 0.00106215728567003*E2*E3*E4*E1*E2*E3*E5 + 0.0105153571281292*E2*E3*E4*E2*E3*E5*E1 - 0.0149283034438416*E2*E3*E4*E3*E5*E1*E2 + 0.0107277885852675*E2*E3*E4*E5*E1*E2*E3 - 0.106226350139862*E2*E3*E4*E5*E3*E1*E2 + 1.06215728567005*E2*E3*E4*E5*E3*E2*E1 - 0.00106215728567003*E2*E3*E5*E1*E2*E3*E4 - 0.163826243312635*E2*E3*E5*E2*E3*E4*E1 + 0.0106215728567005*E2*E3*E5*E3*E4*E1*E2 - 0.116213286571107*E2*E3*E5*E3*E4*E2*E1 - 0.00281086552706267*E2*E3**2*E4*E5*E1*E2 + 0.000170828845215179*E2*E3**2*E4*E5*E2*E1 + 0.000106215728566889*E2*E4*E3*E1*E2*E3*E5 - 0.00106215728567004*E2*E4*E3*E5*E1*E2*E3 + 0.0106215728567005*E2*E4*E3*E5*E3*E1*E2 - 0.106205106994148*E2*E4*E3*E5*E3*E2*E1 + 0.00326633263592885*E2*E4*E3**2*E5*E1*E2 + 0.000106215728566995*E2*E4*E5*E3*E1*E2*E3 + 0.000106215728566955*E2*E5*E3*E1*E2*E3*E4 + 0.0131594482884823*E2*E5*E3*E2*E3*E4*E1 - 0.00106215728567002*E2*E5*E3*E4*E1*E2*E3 + 0.0105153571281333*E2*E5*E3*E4*E2*E3*E1 - 0.0105153571281335*E2**2*E3*E4*E5*E3*E1 - 1.06215728566798e-5*E3*E2*E1*E2*E3*E4*E5 + 0.104631164554906*E3*E2*E3*E4*E5*E1*E2 - 0.00964237501877208*E3*E2*E3*E4*E5*E2*E1 + 0.00010621572856705*E3*E2*E4*E1*E2*E3*E5 - 0.00106215728567006*E3*E2*E4*E3*E5*E1*E2 - 0.00107277885852681*E3*E2*E4*E5*E1*E2*E3 + 0.0107277885852675*E3*E2*E4*E5*E3*E1*E2 - 0.106205106994148*E3*E2*E4*E5*E3*E2*E1 + 0.000106215728567065*E3*E2*E5*E1*E2*E3*E4 - 0.00106215728566996*E3*E2*E5*E3*E4*E1*E2 + 0.123542841901902*E3*E2*E5*E3*E4*E2*E1 - 1.06215728566207e-5*E3*E4*E5*E3*E2*E1*E2 - 0.103421984788991*E3*E5*E3*E2*E4*E1*E2 - 1.06215728566683e-5*E4*E3*E2*E1*E2*E3*E5 + 0.000106215728566956*E4*E3*E2*E5*E1*E2*E3 - 0.00106215728567005*E4*E3*E2*E5*E3*E1*E2 + 0.0105153571281334*E4*E3*E2*E5*E3*E2*E1 + 0.000106215728567348*E4*E3*E5*E3*E2*E1*E2 - 1.0621572856497e-5*E4*E5*E3*E2*E1*E2*E3 - 1.06215728565189e-5*E5*E3*E2*E1*E2*E3*E4 + 0.000106215728567028*E5*E3*E2*E4*E1*E2*E3 - 0.00106215728566961*E5*E3*E2*E4*E3*E1*E2 + 0.000573144663972147*E5*E3**2*E4*E1*E2**2)
i: 1 	 -j: 3 	 summand: -88638.487171613*(-0.105153571281335*F1*F2*F3*F4*F3*F5 + 1.05153571281335*F1*F2*F3*F5*F4*F3 - 0.105153571281335*F1*F2*F5*F3*F4*F3 + 0.0105153571281335*F1*F3*F2*F4*F3*F5 + 0.0105153571281335*F1*F3*F2*F5*F3*F4 - 0.106205106994148*F1*F3*F2*F5*F4*F3 - 0.00105153571281331*F1*F3*F4*F3*F2*F5 + 0.000105153571281339*F1*F3*F5*F4*F3*F2 + 0.0105153571281335*F1*F4*F3*F2*F5*F3 + 0.0105153571281335*F1*F5*F3*F2*F4*F3 - 0.00105153571281344*F1*F5*F3*F4*F3*F2 + 0.0105153571281335*F2*F1*F3*F4*F3*F5 - 0.105153571281335*F2*F1*F3*F5*F4*F3 + 0.0105153571281335*F2*F1*F5*F3*F4*F3 - 0.00105153571281335*F3*F2*F1*F4*F3*F5 - 0.00105153571281335*F3*F2*F1*F5*F3*F4 + 0.0106205106994148*F3*F2*F1*F5*F4*F3 + 0.000105153571281334*F3*F4*F3*F2*F1*F5 - 1.05153571281345e-5*F3*F5*F4*F3*F2*F1 - 0.00105153571281335*F4*F3*F2*F1*F5*F3 - 0.00105153571281335*F5*F3*F2*F1*F4*F3 + 0.000105153571281364*F5*F3*F4*F3*F2*F1)*KNeg1*KNeg2*(-1.05153571281337e-5*E1*E2*E3*E4*E5*E3 + 0.000105153571281336*E2*E3*E4*E5*E3*E1 + 0.00010515357128134*E3*E1*E2*E3*E4*E5 - 0.00105153571281343*E3*E2*E3*E4*E5*E1 - 0.00105153571281335*E3*E4*E1*E2*E3*E5 + 0.0105153571281335*E3*E4*E2*E3*E5*E1 + 0.0106205106994148*E3*E4*E5*E1*E2*E3 - 0.106205106994148*E3*E4*E5*E2*E3*E1 - 0.105153571281335*E3*E4*E5*E3*E1*E2 + 1.05153571281335*E3*E4*E5*E3*E2*E1 - 0.00105153571281335*E3*E5*E1*E2*E3*E4 + 0.0105153571281335*E3*E5*E2*E3*E4*E1 + 0.0104102035568522*E3*E5*E3*E4*E1*E2 - 0.104102035568522*E3*E5*E3*E4*E2*E1 + 0.000105153571281332*E4*E3*E1*E2*E3*E5 - 0.00105153571281329*E4*E3*E2*E3*E5*E1 - 0.00105153571281335*E4*E3*E5*E1*E2*E3 + 0.0105153571281335*E4*E3*E5*E2*E3*E1 + 0.0104102035568522*E4*E3*E5*E3*E1*E2 - 0.104102035568522*E4*E3*E5*E3*E2*E1 + 0.000105153571281339*E4*E5*E3*E1*E2*E3 - 0.00105153571281336*E4*E5*E3*E2*E3*E1 + 0.000105153571281328*E5*E3*E1*E2*E3*E4 - 0.00105153571281334*E5*E3*E2*E3*E4*E1 - 0.00105153571281335*E5*E3*E4*E1*E2*E3 + 0.0105153571281335*E5*E3*E4*E2*E3*E1)
i: 1 	 -j: 4 	 summand: -904.382075008805*(1.04102035568522*F1*F2*F3*F5*F4 - 0.104102035568522*F1*F2*F4*F3*F5 - 0.104102035568522*F1*F2*F5*F3*F4 + 0.0104102035568522*F1*F2*F5*F4*F3 - 0.104102035568522*F1*F3*F2*F5*F4 + 0.0104102035568522*F1*F4*F3*F2*F5 + 0.0104102035568522*F1*F5*F3*F2*F4 - 0.00104102035568522*F1*F5*F4*F3*F2 - 0.104102035568522*F2*F1*F3*F5*F4 + 0.0104102035568522*F2*F1*F4*F3*F5 + 0.0104102035568522*F2*F1*F5*F3*F4 - 0.00104102035568522*F2*F1*F5*F4*F3 + 0.0104102035568522*F3*F2*F1*F5*F4 - 0.00104102035568522*F4*F3*F2*F1*F5 - 0.00104102035568522*F5*F3*F2*F1*F4 + 0.000104102035568522*F5*F4*F3*F2*F1)*KNeg1*KNeg2*KNeg3*(0.000104102035568522*E1*E2*E3*E4*E5 - 0.00104102035568522*E2*E3*E4*E5*E1 - 0.00104102035568522*E3*E4*E5*E1*E2 + 0.0104102035568522*E3*E4*E5*E2*E1 - 0.00104102035568522*E4*E1*E2*E3*E5 + 0.0104102035568522*E4*E2*E3*E5*E1 + 0.0104102035568522*E4*E3*E5*E1*E2 - 0.104102035568522*E4*E3*E5*E2*E1 + 0.0104102035568522*E4*E5*E1*E2*E3 - 0.104102035568522*E4*E5*E2*E3*E1 - 0.104102035568522*E4*E5*E3*E1*E2 + 1.04102035568522*E4*E5*E3*E2*E1 - 0.00104102035568522*E5*E1*E2*E3*E4 + 0.0104102035568522*E5*E2*E3*E4*E1 + 0.0104102035568522*E5*E3*E4*E1*E2 - 0.104102035568522*E5*E3*E4*E2*E1)
i: 1 	 -j: 5 	 summand: -9.2274469442792*(1.03061015212836*F1*F2*F3*F5 - 0.103061015212836*F1*F2*F5*F3 - 0.103061015212836*F1*F3*F2*F5 + 0.0103061015212836*F1*F5*F3*F2 - 0.103061015212836*F2*F1*F3*F5 + 0.0103061015212836*F2*F1*F5*F3 + 0.0103061015212836*F3*F2*F1*F5 - 0.00103061015212836*F5*F3*F2*F1)*KNeg1*KNeg2*KNeg3*KNeg4*(-0.00103061015212836*E1*E2*E3*E5 + 0.0103061015212836*E2*E3*E5*E1 + 0.0103061015212836*E3*E5*E1*E2 - 0.103061015212836*E3*E5*E2*E1 + 0.0103061015212836*E5*E1*E2*E3 - 0.103061015212836*E5*E2*E3*E1 - 0.103061015212836*E5*E3*E1*E2 + 1.03061015212836*E5*E3*E2*E1)
i: 2 	 -j: 1 	 summand: -868745812.768979*(1.06215728568883e-6*F1*F2*F3*F5*F4*F3*F2 - 1.06215728566271e-5*F2*F1*F2*F3*F5*F4*F3 + 0.000106215728566824*F2*F3*F1*F2*F3*F5*F4 + 0.0119131293443555*F2*F3*F2*F3*F5*F4*F1 - 0.00106215728567003*F2*F3*F4*F1*F2*F3*F5 - 0.163826243312635*F2*F3*F4*F2*F3*F5*F1 + 0.0106215728567005*F2*F3*F4*F3*F5*F1*F2 - 0.116213286571107*F2*F3*F4*F3*F5*F2*F1 - 0.00106215728567003*F2*F3*F5*F1*F2*F3*F4 + 0.0105153571281292*F2*F3*F5*F2*F3*F4*F1 - 0.0149283034438416*F2*F3*F5*F3*F4*F1*F2 + 0.0107277885852675*F2*F3*F5*F4*F1*F2*F3 - 0.106226350139862*F2*F3*F5*F4*F3*F1*F2 + 1.06215728567005*F2*F3*F5*F4*F3*F2*F1 - 0.00281086552706267*F2*F3**2*F5*F4*F1*F2 + 0.000170828845215179*F2*F3**2*F5*F4*F2*F1 + 0.000106215728566955*F2*F4*F3*F1*F2*F3*F5 + 0.0131594482884823*F2*F4*F3*F2*F3*F5*F1 - 0.00106215728567002*F2*F4*F3*F5*F1*F2*F3 + 0.0105153571281333*F2*F4*F3*F5*F2*F3*F1 + 0.000106215728566889*F2*F5*F3*F1*F2*F3*F4 - 0.00106215728567004*F2*F5*F3*F4*F1*F2*F3 + 0.0106215728567005*F2*F5*F3*F4*F3*F1*F2 - 0.106205106994148*F2*F5*F3*F4*F3*F2*F1 + 0.00326633263592885*F2*F5*F3**2*F4*F1*F2 + 0.000106215728566995*F2*F5*F4*F3*F1*F2*F3 - 0.0105153571281335*F2**2*F3*F5*F4*F3*F1 - 1.06215728566798e-5*F3*F2*F1*F2*F3*F5*F4 + 0.104631164554906*F3*F2*F3*F5*F4*F1*F2 - 0.00964237501877208*F3*F2*F3*F5*F4*F2*F1 + 0.000106215728567065*F3*F2*F4*F1*F2*F3*F5 - 0.00106215728566996*F3*F2*F4*F3*F5*F1*F2 + 0.123542841901902*F3*F2*F4*F3*F5*F2*F1 + 0.00010621572856705*F3*F2*F5*F1*F2*F3*F4 - 0.00106215728567006*F3*F2*F5*F3*F4*F1*F2 - 0.00107277885852681*F3*F2*F5*F4*F1*F2*F3 + 0.0107277885852675*F3*F2*F5*F4*F3*F1*F2 - 0.106205106994148*F3*F2*F5*F4*F3*F2*F1 - 0.103421984788991*F3*F4*F3*F2*F5*F1*F2 - 1.06215728566207e-5*F3*F5*F4*F3*F2*F1*F2 - 1.06215728565189e-5*F4*F3*F2*F1*F2*F3*F5 + 0.000106215728567028*F4*F3*F2*F5*F1*F2*F3 - 0.00106215728566961*F4*F3*F2*F5*F3*F1*F2 + 0.000573144663972147*F4*F3**2*F5*F1*F2**2 - 1.06215728566683e-5*F5*F3*F2*F1*F2*F3*F4 + 0.000106215728566956*F5*F3*F2*F4*F1*F2*F3 - 0.00106215728567005*F5*F3*F2*F4*F3*F1*F2 + 0.0105153571281334*F5*F3*F2*F4*F3*F2*F1 + 0.000106215728567348*F5*F3*F4*F3*F2*F1*F2 - 1.0621572856497e-5*F5*F4*F3*F2*F1*F2*F3)*K1*(0.0106215728566993*E1*E2*E3*E4*E2*E3*E5 - 0.191517305296347*E1*E2*E3*E4*E3*E5*E2 - 0.00106215728567024*E1*E2*E3*E4*E5*E2*E3 + 1.06215728567005*E1*E2*E3*E4*E5*E3*E2 - 0.106215728567005*E1*E2*E3*E5*E3*E4*E2 - 0.0128351325190784*E1*E2*E3**2*E4*E5*E2 + 0.121406737853408*E1*E2*E4*E3*E5*E3*E2 + 0.00812955741216457*E1*E2*E4*E5*E3*E2*E3 - 0.00928195646028292*E1*E2*E4*E5*E3**2*E2 + 0.0106215728567003*E1*E2*E5*E3*E4*E2*E3 - 0.0105153571281335*E1*E2**2*E3*E4*E5*E3 - 0.106215728567005*E1*E3*E2*E4*E5*E3*E2 + 0.0106215728567004*E1*E3*E2*E5*E3*E4*E2 + 0.0106215728567011*E1*E4*E3*E2*E5*E3*E2 + 0.001051535712813*E2*E1*E2*E3*E4*E5*E3 - 0.00106215728567004*E2*E1*E3*E4*E2*E3*E5 - 0.503053443843622*E2*E1*E3*E4*E3*E5*E2 + 0.0107277885852675*E2*E1*E3*E4*E5*E2*E3 - 0.106226350139862*E2*E1*E3*E4*E5*E3*E2 - 0.00106215728567005*E2*E1*E3*E5*E2*E3*E4 + 0.0107277885852671*E2*E1*E3*E5*E3*E4*E2 - 0.013373641622428*E2*E1*E3**2*E4*E5*E2 - 0.00106215728566998*E2*E1*E4*E3*E5*E2*E3 - 0.241644067536978*E2*E1*E4*E3*E5*E3*E2 + 0.175339068659456*E2*E1*E4*E5*E3*E2*E3 - 0.00106215728567002*E2*E1*E5*E3*E4*E2*E3 + 0.000106215728566775*E2*E3*E4*E2*E1*E3*E5 - 0.00106215728567026*E2*E3*E4*E5*E2*E1*E3 + 1.0621572856756e-6*E2*E3*E4*E5*E3*E2*E1 - 1.06215728567075e-5*E2*E3*E5*E3*E4*E2*E1 - 1.06215728566376e-5*E2*E4*E3*E5*E3*E2*E1 + 0.000929268447843342*E2*E4*E5*E2*E1*E3**2 + 0.000106215728566548*E2*E5*E3*E4*E2*E1*E3 - 0.00106215728567005*E3*E2*E1*E4*E3*E5*E2 + 0.0107277885852675*E3*E2*E1*E4*E5*E3*E2 - 0.00106215728567006*E3*E2*E1*E5*E3*E4*E2 - 1.06215728567689e-5*E3*E2*E4*E5*E3*E2*E1 + 0.000106215728567546*E3*E2*E5*E3*E4*E2*E1 - 0.00106215728567008*E4*E3*E2*E1*E5*E3*E2 + 0.000106215728566664*E4*E3*E2*E5*E3*E2*E1 - 0.00106215728566997*E5*E3*E2*E1*E4*E3*E2)
i: 2 	 -j: 2 	 summand: -88638487.171613*(-0.105143055924207*F2*F3*F4*F3*F5*F2 + 0.0104102035568527*F2*F3*F5*F2*F3*F4 - 0.114781682747284*F2*F3*F5*F3*F4*F2 + 1.05153466127764*F2*F3*F5*F4*F3*F2 + 0.0219499542595849*F2*F3**2*F5*F4*F2 + 0.0104102035568521*F2*F4*F3*F5*F2*F3 - 0.126682026695371*F2*F5*F3*F4*F3*F2 - 0.0144774029198688*F2*F5*F4*F3**2*F2 - 0.0104102035568522*F2**2*F3*F5*F4*F3 + 0.0104102035568523*F3*F2*F4*F3*F5*F2 - 0.105143055924207*F3*F2*F5*F4*F3*F2 + 0.0104102035568529*F5*F3*F2*F4*F3*F2)*(0.0104102035568527*E2*E3*E4*E2*E3*E5 - 0.114781682747284*E2*E3*E4*E3*E5*E2 + 1.05153466127764*E2*E3*E4*E5*E3*E2 - 0.105143055924207*E2*E3*E5*E3*E4*E2 + 0.0219499542595849*E2*E3**2*E4*E5*E2 - 0.126682026695371*E2*E4*E3*E5*E3*E2 - 0.0144774029198688*E2*E4*E5*E3**2*E2 + 0.0104102035568521*E2*E5*E3*E4*E2*E3 - 0.0104102035568522*E2**2*E3*E4*E5*E3 - 0.105143055924207*E3*E2*E4*E5*E3*E2 + 0.0104102035568523*E3*E2*E5*E3*E4*E2 + 0.0104102035568529*E4*E3*E2*E5*E3*E2)
i: 2 	 -j: 3 	 summand: -90438.2075008805*(-0.104102035568522*F2*F3*F4*F3*F5 + 1.04102035568522*F2*F3*F5*F4*F3 - 0.104102035568522*F2*F5*F3*F4*F3 + 0.0104102035568522*F3*F2*F4*F3*F5 + 0.0104102035568522*F3*F2*F5*F3*F4 - 0.105143055924207*F3*F2*F5*F4*F3 - 0.00104102035568522*F3*F4*F3*F2*F5 + 0.000104102035568523*F3*F5*F4*F3*F2 + 0.0104102035568522*F4*F3*F2*F5*F3 + 0.0104102035568522*F5*F3*F2*F4*F3 - 0.00104102035568525*F5*F3*F4*F3*F2)*KNeg2*(0.000104102035568516*E2*E3*E4*E5*E3 - 0.00104102035568524*E3*E2*E3*E4*E5 + 0.0104102035568522*E3*E4*E2*E3*E5 - 0.105143055924207*E3*E4*E5*E2*E3 + 1.04102035568522*E3*E4*E5*E3*E2 + 0.0104102035568522*E3*E5*E2*E3*E4 - 0.103061015212837*E3*E5*E3*E4*E2 - 0.00104102035568522*E4*E3*E2*E3*E5 + 0.0104102035568522*E4*E3*E5*E2*E3 - 0.103061015212836*E4*E3*E5*E3*E2 - 0.00104102035568525*E4*E5*E3*E2*E3 - 0.0010410203556851*E5*E3*E2*E3*E4 + 0.0104102035568522*E5*E3*E4*E2*E3)
i: 2 	 -j: 4 	 summand: -922.744694427921*(1.03061015212836*F2*F3*F5*F4 - 0.103061015212836*F2*F4*F3*F5 - 0.103061015212836*F2*F5*F3*F4 + 0.0103061015212836*F2*F5*F4*F3 - 0.103061015212836*F3*F2*F5*F4 + 0.0103061015212836*F4*F3*F2*F5 + 0.0103061015212836*F5*F3*F2*F4 - 0.00103061015212836*F5*F4*F3*F2)*KNeg2*KNeg3*(-0.00103061015212836*E2*E3*E4*E5 + 0.0103061015212836*E3*E4*E5*E2 + 0.0103061015212836*E4*E2*E3*E5 - 0.103061015212836*E4*E3*E5*E2 - 0.103061015212836*E4*E5*E2*E3 + 1.03061015212836*E4*E5*E3*E2 + 0.0103061015212836*E5*E2*E3*E4 - 0.103061015212836*E5*E3*E4*E2)
i: 2 	 -j: 5 	 summand: -9.41480149401*(1.02030405060708*F2*F3*F5 - 0.102030405060708*F2*F5*F3 - 0.102030405060708*F3*F2*F5 + 0.0102030405060708*F5*F3*F2)*KNeg2*KNeg3*KNeg4*(0.0102030405060708*E2*E3*E5 - 0.102030405060708*E3*E5*E2 - 0.102030405060708*E5*E2*E3 + 1.02030405060708*E5*E3*E2)
i: 3 	 -j: 1 	 summand: -886384871.71613*(-1.05153571281337e-5*F1*F2*F3*F5*F4*F3 + 0.000105153571281336*F2*F3*F5*F4*F3*F1 + 0.00010515357128134*F3*F1*F2*F3*F5*F4 - 0.00105153571281343*F3*F2*F3*F5*F4*F1 - 0.00105153571281335*F3*F4*F1*F2*F3*F5 + 0.0105153571281335*F3*F4*F2*F3*F5*F1 + 0.0104102035568522*F3*F4*F3*F5*F1*F2 - 0.104102035568522*F3*F4*F3*F5*F2*F1 - 0.00105153571281335*F3*F5*F1*F2*F3*F4 + 0.0105153571281335*F3*F5*F2*F3*F4*F1 + 0.0106205106994148*F3*F5*F4*F1*F2*F3 - 0.106205106994148*F3*F5*F4*F2*F3*F1 - 0.105153571281335*F3*F5*F4*F3*F1*F2 + 1.05153571281335*F3*F5*F4*F3*F2*F1 + 0.000105153571281328*F4*F3*F1*F2*F3*F5 - 0.00105153571281334*F4*F3*F2*F3*F5*F1 - 0.00105153571281335*F4*F3*F5*F1*F2*F3 + 0.0105153571281335*F4*F3*F5*F2*F3*F1 + 0.000105153571281332*F5*F3*F1*F2*F3*F4 - 0.00105153571281329*F5*F3*F2*F3*F4*F1 - 0.00105153571281335*F5*F3*F4*F1*F2*F3 + 0.0105153571281335*F5*F3*F4*F2*F3*F1 + 0.0104102035568522*F5*F3*F4*F3*F1*F2 - 0.104102035568522*F5*F3*F4*F3*F2*F1 + 0.000105153571281339*F5*F4*F3*F1*F2*F3 - 0.00105153571281336*F5*F4*F3*F2*F3*F1)*K1*K2*(1.05153571281335*E1*E2*E3*E4*E5*E3 - 0.105153571281335*E1*E2*E3*E5*E3*E4 - 0.105153571281335*E1*E2*E4*E3*E5*E3 + 0.0105153571281335*E1*E3*E2*E4*E3*E5 - 0.106205106994148*E1*E3*E2*E4*E5*E3 + 0.0105153571281335*E1*E3*E2*E5*E3*E4 + 0.000105153571281339*E1*E3*E4*E5*E3*E2 - 0.00105153571281331*E1*E3*E5*E3*E2*E4 + 0.0105153571281335*E1*E4*E3*E2*E5*E3 - 0.00105153571281344*E1*E4*E3*E5*E3*E2 + 0.0105153571281335*E1*E5*E3*E2*E4*E3 - 0.105153571281335*E2*E1*E3*E4*E5*E3 + 0.0105153571281335*E2*E1*E3*E5*E3*E4 + 0.0105153571281335*E2*E1*E4*E3*E5*E3 - 0.00105153571281335*E3*E2*E1*E4*E3*E5 + 0.0106205106994148*E3*E2*E1*E4*E5*E3 - 0.00105153571281335*E3*E2*E1*E5*E3*E4 - 1.05153571281345e-5*E3*E4*E5*E3*E2*E1 + 0.000105153571281334*E3*E5*E3*E2*E1*E4 - 0.00105153571281335*E4*E3*E2*E1*E5*E3 + 0.000105153571281364*E4*E3*E5*E3*E2*E1 - 0.00105153571281335*E5*E3*E2*E1*E4*E3)
i: 3 	 -j: 2 	 summand: -9043820.75008805*(0.000104102035568516*F2*F3*F5*F4*F3 - 0.00104102035568524*F3*F2*F3*F5*F4 + 0.0104102035568522*F3*F4*F2*F3*F5 - 0.103061015212837*F3*F4*F3*F5*F2 + 0.0104102035568522*F3*F5*F2*F3*F4 - 0.105143055924207*F3*F5*F4*F2*F3 + 1.04102035568522*F3*F5*F4*F3*F2 - 0.0010410203556851*F4*F3*F2*F3*F5 + 0.0104102035568522*F4*F3*F5*F2*F3 - 0.00104102035568522*F5*F3*F2*F3*F4 + 0.0104102035568522*F5*F3*F4*F2*F3 - 0.103061015212836*F5*F3*F4*F3*F2 - 0.00104102035568525*F5*F4*F3*F2*F3)*K2*(1.04102035568522*E2*E3*E4*E5*E3 - 0.104102035568522*E2*E3*E5*E3*E4 - 0.104102035568522*E2*E4*E3*E5*E3 + 0.0104102035568522*E3*E2*E4*E3*E5 - 0.105143055924207*E3*E2*E4*E5*E3 + 0.0104102035568522*E3*E2*E5*E3*E4 + 0.000104102035568523*E3*E4*E5*E3*E2 - 0.00104102035568522*E3*E5*E3*E2*E4 + 0.0104102035568522*E4*E3*E2*E5*E3 - 0.00104102035568525*E4*E3*E5*E3*E2 + 0.0104102035568522*E5*E3*E2*E4*E3)
i: 3 	 -j: 3 	 summand: -922744.694427921*(-0.102030405060708*F3*F4*F3*F5 + 1.03050709111315*F3*F5*F4*F3 - 0.102030405060708*F5*F3*F4*F3)*(1.03050709111315*E3*E4*E5*E3 - 0.102030405060708*E3*E5*E3*E4 - 0.102030405060708*E4*E3*E5*E3)
i: 3 	 -j: 4 	 summand: -941.480149401*(1.02030405060708*F3*F5*F4 - 0.102030405060708*F4*F3*F5 - 0.102030405060708*F5*F3*F4 + 0.0102030405060708*F5*F4*F3)*KNeg3*(0.0102030405060708*E3*E4*E5 - 0.102030405060708*E4*E3*E5 + 1.02030405060708*E4*E5*E3 - 0.102030405060708*E5*E3*E4)
i: 3 	 -j: 5 	 summand: -9.6059601*(1.01010101010101*F3*F5 - 0.101010101010101*F5*F3)*KNeg3*KNeg4*(-0.101010101010101*E3*E5 + 1.01010101010101*E5*E3)
